Join Date,Name,Completed
"Jan 9, 2018, 5:49:43 AM",January Cycling Climbing Challenge,false
"Jan 9, 2018, 5:50:06 AM",January 10K,false
"Jan 9, 2018, 5:50:28 AM",January Gran Fondo,false
"Feb 5, 2018, 11:08:46 PM",Le Col Season Starter,false
"Feb 5, 2018, 11:09:24 PM",February Cycling Climbing Challenge,false
"Feb 5, 2018, 11:09:40 PM",February Cycling Distance Challenge,false
"Mar 18, 2018, 12:32:10 AM",March Cycling Climbing Challenge,false
"Mar 18, 2018, 12:32:13 AM",March Gran Fondo,false
"Apr 4, 2018, 5:33:55 AM",April Cycling Climbing Challenge,false
"Apr 4, 2018, 5:34:02 AM",April Gran Fondo,false
"Apr 4, 2018, 5:34:20 AM",The GORE® WEAR Stretch Your Goals Challenge,false
"Jul 11, 2019, 4:12:21 AM",July Cycling Climbing Challenge,false
"Jul 16, 2019, 1:17:07 AM",July Cycling Distance Challenge,false
"Jul 19, 2019, 4:06:25 PM",Le Col Tour Challenge,true
"Jul 19, 2019, 4:08:40 PM",ROKA Le Défi 100,true
"Jul 22, 2019, 4:52:05 PM",Trek Century Challenge,false
"Apr 29, 2020, 1:35:07 AM",May Cycling Climbing Challenge,true
"Apr 29, 2020, 1:35:08 AM",May Cycling Distance Challenge,false
"Apr 29, 2020, 1:35:12 AM",May Gran Fondo,false
"Apr 29, 2020, 1:35:12 AM",May – Ride On Challenge,true
"May 8, 2020, 5:48:26 PM",SOLOdarity,true
"May 27, 2020, 2:12:15 AM",Alaska Airlines Miles on the Ground,true
"May 27, 2020, 2:13:24 AM",Le Col Fit for 300 Challenge,true
"May 27, 2020, 2:13:29 AM",June Cycling Challenge,false
"May 27, 2020, 2:13:32 AM",June Cycling Climbing Challenge,false
"May 27, 2020, 2:13:44 AM",June Cycling Distance Challenge,false
"May 27, 2020, 2:13:47 AM",June Gran Fondo,false
"May 27, 2020, 6:55:41 PM",May 5K,false
"Jun 2, 2020, 6:11:07 PM",June 5K,false
"Mar 3, 2021, 5:14:10 AM","#CRUSHCOVID Challenge, by Elite & Toronto Hustle",false
"Mar 3, 2021, 5:16:01 AM",March Gran Fondo,false
"Mar 3, 2021, 5:16:05 AM",March Saddle Up Challenge,false
"Mar 3, 2021, 5:16:10 AM",March Cycling Challenge,false
"Mar 3, 2021, 5:16:10 AM",March Cycling Consistency Challenge,false
"Aug 22, 2021, 12:57:06 AM",#TheHumanRace,true
"Aug 22, 2021, 12:57:12 AM",August Gran Fondo,true
"Sep 3, 2021, 1:12:34 AM",Cannondale X MEC: 50th Anniversary Ride,false
"Sep 3, 2021, 1:12:41 AM",September 5k,false
"Sep 3, 2021, 1:12:57 AM",September Gran Fondo,false
"Sep 3, 2021, 1:13:01 AM",September Cycling Challenge,false
"Sep 3, 2021, 1:15:06 AM",Therabody Double Down 8 Hour Challenge,false
